Time_s_int,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,Year,Event,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime,Compound,TyreLife,AirTemp,TrackTemp,Rainfall,Opponent_Compound,Opponent_TyreLife,Time_s
0,2022-07-03 15:02:59.587,0 days 02:01:59.575000,,120.03083333333336,0 days 00:00:00,11398.0251584,244.0,6,100.0,False,1,interpolation,-0.048707306097613326,-8.367095579890241e-06,OnTrack,-1801.4581923136398,1150.917139781829,1963.373345597419,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,UNKNOWN,0.0,0.0
1,2022-07-03 15:03:00.690,0 days 02:02:00.678000,1,123.54194444444448,0 days 00:00:01.103000,10698.0,261.0,7,100.0,False,0,car,78.50333333333333,0.013485551675217578,OnTrack,-1301.537553351229,1796.02329353179,1968.9022800889018,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,1.103
2,2022-07-03 15:03:01.606,0 days 02:02:01.594000,1,127.34972286222228,0 days 00:00:02.019000,11057.828176,274.3468768,7,100.0,False,0,pos,147.35039345950432,0.025312318101504666,OnTrack,-898.0,2351.0,1976.0,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,2.019
3,2022-07-03 15:03:02.769,0 days 02:02:02.757000,1,130.25972222222217,0 days 00:00:03.182000,11423.0,284.0,7,100.0,False,0,car,238.14000000000001,0.04090844477011143,OnTrack,-377.94601037581873,3094.1458586048925,1988.327612413341,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,3.182
4,2022-07-03 15:03:03.726,0 days 02:02:03.714000,1,128.50222163555554,0 days 00:00:04.139000,11215.658056533333,291.30833493333336,7,100.0,False,0,pos,314.8801108280034,0.05409110448901462,OnTrack,59.0,3721.0,1999.0,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,4.139
5,2022-07-03 15:03:04.746,0 days 02:02:04.734000,1,125.3627777777779,0 days 00:00:05.159000,10333.4,289.8,8,79.4,False,0,pos,397.63414216167405,0.0683068545533362,OnTrack,641.0,4314.0,2012.0,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,5.159
6,2022-07-03 15:03:05.690,0 days 02:02:05.678000,1,125.97833333333341,0 days 00:00:06.103000,10212.0,284.0,8,100.0,False,0,car,472.35472222222216,0.08114259286944277,OnTrack,1350.4876007583819,4518.1126223663405,2017.3075336674647,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,6.103
7,2022-07-03 15:03:06.730,0 days 02:02:06.718000,1,126.88944444444473,0 days 00:00:07.143000,10318.0,288.0,8,100.0,False,0,car,554.6991666666665,0.09528798279839658,OnTrack,2196.6576727953343,4449.87703537916,2026.6859358216068,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,7.143
8,2022-07-03 15:03:07.769,0 days 02:02:07.757000,1,124.95972222222247,0 days 00:00:08.182000,10234.0,287.0,8,100.0,False,0,car,638.0972222222222,0.1096143653869123,OnTrack,3004.6177704597962,4520.704613638442,2037.1232376588216,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,8.182
9,2022-07-03 15:03:08.706,0 days 02:02:08.694000,1,110.67777946666716,0 days 00:00:09.119000,10018.591675733333,281.85833386666667,8,100.0,False,0,pos,711.8044388874968,0.12227602492378145,OnTrack,3637.0,4899.0,2048.0,16,2022,Silverstone,5.0,0 days 00:00:29.917000,0 days 00:00:38.117000,0 days 00:00:25.623000,0 days 00:01:33.657000,MEDIUM,4.0,18.7,33.1,False,MEDIUM,4.0,9.119
